Operator_Name,Facility_Name,Physical_Facility_Address,State,Truck,Chemical_Products,Petroleum_Products,Liquified_Gasses_Products,NGL,Biofuel,Vegetable_Oil,Waste,Liquid_Type_Detail,Capacity_Gallons,Lat,Lng
Superior Carriers,,"813 W 18th St, Parker, AZ 85344",AZ,Y,,,,,,,,,,34.1408314,-114.2882265
Sprague Energy,Searsport,"70 Trundy Road Searsport, ME 04974",ME,Y,,Y,,,,,,Kerosene|Fuel Oil|Heating Fuel Dyed|Bunker Fuel,67200000,44.4535573,-68.9031999
Turner's Island,Turner's Island,"40 Mechanic Street South Portland, ME 04106",ME,Y,,,,,,,,,,43.6376944,-70.2682263
Sprague Energy,Sprague-South Portland,"59 Main Street South Portland, ME 04106",ME,Y,,Y,,,,,,Kerosene|Diesel|Heating Fuel Dyed|Jet Fuel,,43.6372167,-70.2864032
Global,South Portland Terminal,"1 Clark Road South Portland, ME 04106",ME,Y,,Y,,,,,,Kerosene|Fuel Oil|Liquified Asphalt|Diesel|No. 6 Oil,,43.634469,-70.2841256
Sprague Energy,Rensselaer Terminal,"58 Riverside Avenue Rensselaer, NY 12144",NY,Y,,Y,,,,,,Gasoline|Kerosene|Ethanol|Diesel,,42.6342739,-73.7495097
BWC Terminals LLC,Contanda Terminals Philadelphia,"2900 E. Allegheny Road Philadelphia, PA 19134",PA,N,Y,,,,,Y,,Specialty chemicals|caustic soda|molasses|Glycol|Amines|Solvents|Nitrogen Solutions|Lignin Sulfonate|Cashew Oil|Acids,,29.78184537,-95.52925309
Global Chelsea Terminals,,"11 Broadway, Chelsea, MA 02150",MA,Y,,,,,,,,,,42.3865763,-71.0444945
Gateway Terminal,,"400 Waterfront St, New Haven, CT 06512",CT,Y,,,,,,,,,,41.292967,-72.9041248
BWC Terminals LLC,BWC Terminals,"1055 Hull St, Baltimore, MD 21230",MD,Y,Y,Y,,,Y,Y,,Biodiesel|Specialty chemicals|caustic soda|petroleum products|base oils|wax|vegetable oil|molasses,20280000,39.2735031,-76.591058
Global,,"1 Commander Sq, Oyster Bay, NY 11771",NY,Y,,Y,,,,,,Diesel|petroleum products,,40.8747442,-73.5267296
Hop Energy,,"410 Bank St, New London, CT 06320",CT,Y,,,,,,,,,,41.3503982,-72.0992501
Sprague Energy,,"372 Shattuck Way, Newington, NH 03801",NH,Y,,Y,,,,,,Kerosene|Fuel Oil|Diesel|Heating Oil |ULSD,,43.113801,-70.817883
Motiva Enterprises,,"520 Allens Ave, Providence, RI 02905",RI,Y,,,,,,,,,,41.8036343,-71.4015609
Georgia Ports Authority,Vopak Terminal Savannah,"Tomochichi Rd, Port Wentworth, GA 31407",GA,Y,,,,,,,,,,31.944006,-81.02485
Gulf Oil ,,"281 Eastern Ave, Chelsea, MA 02150",MA,Y,,,,,,,,,52000,42.3968067,-71.0209711
"Apex Oil Company, Inc.",,"3314 River Rd., Wilmington, NC, 28412",NC,Y,,Y,,,Y,,,Gasoline|Distillate|Biodiesel|Liquified Asphalt|Aviation Gasoline,62370000,34.187758,-77.950627
 Pelican Island Storage Terminal Inc.,Bulk Terminal - Galveston Terminals,"4800 Old Port Industrial Rd, Galveston, TX 77554",TX,Y,,Y,,,,,,Diesel|Bunker Fuel,32550000,31,-100
BWC Terminals,Liquid Bulk Terminals,"1650 Ernest Wilson Dr, Port Allen, LA 70767",LA,Y,Y,,,,,,,Specialty chemicals|molasses,924000000,30.4345839,-91.2100283
Kinder Morgan Terminals,,"2200 John S Gibson Blvd San Pedro, CA 90731",CA,Y,,,,,,,,,,37,-119
Center Point Terminal Company,Liquid Bulk Terminals,"995 Ernest Wilson Dr, Port Allen, LA 70767",LA,Y,Y,Y,,,,,,Fuel Oil|Liquified Asphalt|carbon black,51030000,30.444924,-91.2024119
Bayside Fuel Oil Depot Corporation,,"1100 Grand St, Brooklyn, NY 11211",NY,Y,,Y,,,Y,,,Diesel|BioHeat,,40.7140032,-73.9320098
Bayside Fuel Oil Depot Corporation,,"537 Smith St, Brooklyn, NY 11231",NY,Y,,,,,Y,,,BioHeat,,40.6737402,-73.9980983
Heniff Transportation,,"7830 W 71st St, Bridgeview, IL, 60455",IL,Y,,,,,,,,,,41.7624528,-87.8156852
Sprague Energy,,"144 Allens Ave, Providence, RI 02903",RI,Y,,Y,,,,,,Diesel|Heating Fuel Dyed,,41.811352,-71.4049144
Inland Fuel Terminals Inc,,"25 State Ave, Tiverton, RI 02878",RI,Y,,,,,,,,,,41.6716257,-71.1781655
Heniff Transportation,,"1000 S Apache Powder Rd, Saint David, AZ, 85630",AZ,Y,,,,,,,,,,34,-112
Heniff Trasportation,,"5255 Norwood Rd, Dallas, TX 75247",TX,Y,,,,,,,,,,32.8126891,-96.8897508
Sprague,,"939 E 138th St, The Bronx, NY 10454",NY,Y,,Y,,,,,,Diesel|Heating Fuel Dyed|Oil,,40.8018858,-73.9065306
Sprague Energy,,"740 Washington St, Quincy, MA 02169",MA,Y,,Y,,,Y,,,Biodiesel|Diesel|Heating Fuel Dyed,,42.2452564,-70.9711445
Sprague Energy,,"100 Dexter Rd, East Providence, RI 02914",RI,Y,Y,Y,,,,,,Gasoline|Kerosene|Diesel|Heating Fuel Dyed|Heating Oil |Gasoline Detergent additive,,41.8349096,-71.3675206
Global,,"1 Eagles Nest Rd, Bridgeport, CT 06607",CT,Y,,Y,,,Y,,,Biodiesel|Diesel|Heating Oil,,41.17075,-73.159742
"United Riverhead Terminal, Inc.",,"212 Sound Shore Rd, Riverhead, NY 11901",NY,Y,,,,,,,,,,40.9787884,-72.6452194
Westmore Fuel Co,,"2 Purdy Ave, Port Chester, NY 10573",NY,Y,,,,,,,,,,40.995791,-73.660661
NGL Energy Partners,,"2901 S Military Hwy, Chesapeake, VA 23323",VA,Y,,,,,,,,,,36.7728946,-76.3146761
Petro Marine Services,,#1 Lincoln St. P.O. Box 418 Sitka AK 99835,AK,Y,,,,,,,,,,57.0493424,-135.3227539
Superior Bulk Logistics,,"13735 Broadway Ave, Midland, NC 28107",NC,Y,,,,,,,,,,35.2282864,-80.5006644
PILOT,,"2000 Port Rd, Port Isabel, TX 78578",TX,Y,,,,,,,,,,26.0620021,-97.2161895
CITGO,,"495 River Rd, Glenmont, NY 12077",NY,Y,,Y,,,,,,Gasoline|Kerosene|Diesel|Heating Oil,,42.5871433,-73.7674325
"Center Point Terminal Company, LLC",,"552 River Rd, Glenmont, NY 12077",NY,Y,,Y,Y,,Y,,,Gasoline|Distillate|Biodiesel|Kerosene|Butane,88326000,42.582971,-73.7663028
Buckeye Partners,,"Rensselaer, NY 12144",NY,Y,,,,,,,,,,42.6405748,-73.7447525
Superior Carriers,,"2201 W Washington St, Stockton, CA 95203",CA,Y,,,,,,,,,,37.9459568,-121.3223945
Arrow Reload Systems Inc,,"2600 N Going St, Portland, OR 97217",OR,Y,,,,,,,,,,45.555905,-122.693898
International-Matex Tank Terminals (IMTT),,"24420 West Durkee Rd. Channahon, IL 60410",IL,Y,Y,Y,,,,,,Specialty chemicals|petroleum products,29652000,41.410247,-88.2065135
Petro Marine Services,,"4755 Homer Spit Rd, Homer, AK 99603",AK,Y,,,,,,,,,,59.6013119,-151.4113334
Bulkmatic Transport CO,,"291 Catawissa Ave, Williamsport, PA 17701",PA,Y,Y,Y,,,,,,,,41.229285,-77.0647475
Energy Transfer LP,,"2450 Farm-To-Market 3057, Bay City, TX 77414",TX,Y,,,,,,,,,,31,-100
Shell,,"111 State St, Sewaren, NJ 07077",NJ,Y,,,,,,,,,,40.5394129,-74.2607941
